Song,OG Artist,OG Song,Band,Album,Track ID,Popularity,Preview URL,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature
Away From The Sun,3 Doors Down,Away From The Sun,3 Doors Down,Away From The Sun,3ibrMJL5dDVJiRoKjKWe5u,32,,0.542,0.697,0,-6.299,1,0.0269,0.022,0.0,0.0929,0.225,131.92,audio_features,231787,4
Be Like That,3 Doors Down,Be Like That,3 Doors Down,The Better Life,3PbHle8KhJp6GuO1jLdEmQ,63,,0.487,0.702,7,-6.043,1,0.0238,0.00528,4.97e-06,0.129,0.306,95.982,audio_features,265907,4
Behind Those Eyes,3 Doors Down,Behind Those Eyes,3 Doors Down,Seventeen Days,0b1dRMd5quY5DceeqHTejG,23,,0.568,0.653,7,-6.215,1,0.0287,0.0338,3.8e-06,0.256,0.194,142.208,audio_features,259160,4
Duck And Run,3 Doors Down,Duck And Run,3 Doors Down,The Better Life,0s8OsDxW96cl290PcsI2mX,52,,0.524,0.919,4,-5.505,0,0.0436,0.0149,7.05e-05,0.131,0.848,87.931,audio_features,230600,4
Every Time You Go - Acoustic Version,3 Doors Down,Every Time You Go,3 Doors Down,Time Of My Life,06htxUsg7qNSFvJegITTrg,40,,0.584,0.53,2,-4.432,1,0.0287,0.465,0.0,0.349,0.49,126.105,audio_features,228800,4
Here Without You,3 Doors Down,Here Without You,3 Doors Down,Away From The Sun,5IXk34xSm6rxNgXkCveC3r,52,,0.555,0.545,10,-6.768,0,0.0255,0.0629,0.0,0.124,0.193,143.988,audio_features,238560,4
In The Dark,3 Doors Down,In The Dark,3 Doors Down,Us And The Night,1ILnhyARReabVz7U2oDQMm,54,,0.595,0.95,7,-3.356,1,0.0452,0.0233,0.0195,0.334,0.67,106.017,audio_features,223680,4
It's Not My Time,3 Doors Down,Its Not My Time,3 Doors Down,3 Doors Down,6FVjs1K8YpFY2xCHQRzPWq,47,,0.529,0.934,0,-4.808,1,0.0602,0.00153,5.16e-06,0.118,0.282,127.962,audio_features,241960,4
Kryptonite,3 Doors Down,Kryptonite,3 Doors Down,The Better Life,6ZOBP3NvffbU4SZcrnt1k6,84,,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,audio_features,233933,4
Landing In London,3 Doors Down,Landing In London,3 Doors Down,Seventeen Days,3ItHxaRVO9Fxd25QGjfq15,30,,0.475,0.493,4,-6.848,0,0.0267,0.51,4.06e-06,0.116,0.142,147.425,audio_features,271373,4
Let Me Go,3 Doors Down,Let Me Go,3 Doors Down,The Greatest Hits,6A1yZW5SLd9hpLZsG29hCQ,54,,0.478,0.863,1,-4.914,0,0.0387,0.0181,0.0,0.111,0.491,92.004,audio_features,243053,4
Live For Today,3 Doors Down,Live For Today,3 Doors Down,Seventeen Days,6iNafwaOKcTHU9RVyMxD00,8,,0.6,0.839,0,-5.805,1,0.031,0.00743,8.64e-06,0.192,0.441,102.23,audio_features,227640,4
Loser,3 Doors Down,Loser,3 Doors Down,The Better Life,1aC1IBAETh2XYGOE8kCC6t,64,,0.493,0.88,6,-6.424,0,0.0693,0.0108,2.66e-05,0.226,0.389,147.913,audio_features,264800,4
One Light,3 Doors Down,One Light,3 Doors Down,The Greatest Hits,6sIYRzeM8ke76g4zudDJF1,42,,0.372,0.976,11,-3.67,1,0.0625,0.00117,0.00326,0.0597,0.433,170.086,audio_features,176347,4
Still Alive,3 Doors Down,Still Alive,3 Doors Down,Us And The Night,6cJRjKolnLTz0Q0TbwJaSv,62,,0.427,0.962,11,-4.263,0,0.0508,0.000245,0.415,0.157,0.568,169.943,audio_features,161947,4
The Better Life - XX Mix,3 Doors Down,The Better Life,3 Doors Down,The Better Life (20th Anniversary / Deluxe),7tpltjhTJkOKqJqvCk1CYm,20,,0.485,0.918,4,-4.946,1,0.0398,0.000102,0.0069,0.143,0.7,153.005,audio_features,185227,4
The Broken,3 Doors Down,The Broken,3 Doors Down,Us And The Night,3jdo9L1HZ17JJ3TTWq0v6R,44,,0.561,0.952,0,-4.108,1,0.0797,0.00676,6.33e-06,0.179,0.767,140.052,audio_features,166813,4
The Road I'm On,3 Doors Down,The Road Im On,3 Doors Down,Away From The Sun,5sbgr4EzXdo4pJngroidzc,27,,0.398,0.685,4,-6.417,0,0.0284,0.000354,1.32e-05,0.134,0.376,88.009,audio_features,239800,4
Train,3 Doors Down,Train,3 Doors Down,3 Doors Down,4fxHCPaCeIxPVH7yqWXjRl,21,,0.441,0.872,10,-5.022,1,0.065,0.00173,7.46e-06,0.295,0.57,169.815,audio_features,190587,4
When I'm Gone,3 Doors Down,When Im Gone,3 Doors Down,Away From The Sun,0pXYF32YBDiSC6PkQAgBBt,49,,0.529,0.754,7,-5.602,1,0.0285,0.00375,0.0,0.102,0.321,147.955,audio_features,260507,4
When You're Young,3 Doors Down,When Youre Young,3 Doors Down,Time Of My Life,6uMPJ3NmW8FfqqNwqjUHrB,56,,0.462,0.778,9,-4.365,0,0.0313,0.0226,0.0,0.108,0.219,77.004,audio_features,256013,4
Anything Goes,AC/DC,Anything Goes,AC/DC,Black Ice,4OrKIUhgiIiOefxwmrVedV,46,https://p.scdn.co/mp3-preview/9d1326dc2633997d04e2e763e142ca9d734637e2?cid=3502c8805da84b25aa0305556012150b,0.605,0.9,2,-2.717,1,0.0291,0.000522,0.0271,0.0466,0.467,120.895,audio_features,202160,4
Are You Ready,AC/DC,Are You Ready,AC/DC,The Razors Edge,7A1odihHBrI8n9k0Fefh2j,63,https://p.scdn.co/mp3-preview/fbb3b6eb9a77c184b68d8df0a69b8fe1559bc503?cid=3502c8805da84b25aa0305556012150b,0.452,0.821,7,-4.816,1,0.0324,0.0165,3.53e-06,0.13,0.414,108.529,audio_features,250333,4
Ballbreaker,AC/DC,Ballbreaker,AC/DC,Ballbreaker,1TJX5KxBVqwqPPUPH16MFL,49,https://p.scdn.co/mp3-preview/0413756d91223c01fa7e92918ea96e5e95f2f96b?cid=3502c8805da84b25aa0305556012150b,0.473,0.862,2,-5.781,1,0.063,0.000728,0.00825,0.121,0.41,127.233,audio_features,270760,4
Big Balls,AC/DC,Big Balls,AC/DC,Dirty Deeds Done Dirt Cheap,2KmSnPWWCIsEomVsKnbE1a,61,https://p.scdn.co/mp3-preview/0e1db9efd72e37d48f575ca7db87262f46d73118?cid=3502c8805da84b25aa0305556012150b,0.62,0.634,9,-6.324,1,0.198,0.432,0.0,0.604,0.415,107.066,audio_features,158773,4
Big Gun,AC/DC,Big Gun,AC/DC,Backtracks,7zjzu90Q4mtNNaE9Ol9Zbv,61,https://p.scdn.co/mp3-preview/cfab73a432c5d1aa072a3288f3f4ce2fd3af48f1?cid=3502c8805da84b25aa0305556012150b,0.569,0.901,9,-5.197,1,0.0544,0.00555,0.26,0.16,0.839,133.194,audio_features,259413,4
Big Jack,AC/DC,Big Jack,AC/DC,Black Ice,6vgEMqEmhSkv2G23nl1VTu,48,https://p.scdn.co/mp3-preview/aff79f59183c32e7b87d6d73730042e4666e56aa?cid=3502c8805da84b25aa0305556012150b,0.535,0.891,11,-2.754,0,0.0417,0.000159,0.0054,0.0992,0.436,125.796,audio_features,237067,4
Cover You in Oil,AC/DC,Cover You In Oil,AC/DC,Ballbreaker,56OSb0BpuPI9tp4tDvhC8i,43,https://p.scdn.co/mp3-preview/72b075450452019973dbaccbcbcf8a64ea55f890?cid=3502c8805da84b25aa0305556012150b,0.387,0.74,7,-5.822,1,0.0476,0.00862,0.000113,0.345,0.816,197.839,audio_features,272640,4
Dirty Deeds Done Dirt Cheap,AC/DC,Dirty Deeds Done Dirt Cheap,AC/DC,Dirty Deeds Done Dirt Cheap,2d4e45fmUnguxh6yqC7gNT,76,https://p.scdn.co/mp3-preview/73f5aa60896cf68aee31ca088ca180263f2f876c?cid=3502c8805da84b25aa0305556012150b,0.668,0.906,11,-4.881,0,0.17,0.214,0.00245,0.135,0.507,135.653,audio_features,231933,4
Dirty Eyes - Demo,AC/DC,Dirty Eyes,AC/DC,Bonfire,7wuBWouiEMxc44t5EqK5y5,30,https://p.scdn.co/mp3-preview/1817bbb0c6b9519daee2867ad26c82006de79a7e?cid=3502c8805da84b25aa0305556012150b,0.412,0.963,2,-5.135,1,0.0468,0.000219,0.495,0.273,0.634,156.333,audio_features,201400,4
Flick of the Switch,AC/DC,FLICK OF THE SWITCH,AC/DC,Flick of the Switch,0oIox8T3bdGZnhQKnaDK2a,45,https://p.scdn.co/mp3-preview/6e296eb89bf08104834480f06f157a9f7274b210?cid=3502c8805da84b25aa0305556012150b,0.442,0.906,2,-4.429,1,0.0391,3.32e-05,0.144,0.088,0.705,129.483,audio_features,193600,4
For Those About to Rock (We Salute You),AC/DC,For Those About To Rock,AC/DC,For Those About to Rock (We Salute You),17lu4tymfnhmcIDlzBbtAb,69,https://p.scdn.co/mp3-preview/a0c80798a0be24596b7cebe89cfdf52cb407ca39?cid=3502c8805da84b25aa0305556012150b,0.37,0.919,4,-5.721,1,0.102,0.000376,0.419,0.49,0.471,134.021,audio_features,344240,4
Guns for Hire,AC/DC,GUNS FOR HIRE,AC/DC,Flick of the Switch,31F5kR9fPxI7lBV0Stfl4V,47,https://p.scdn.co/mp3-preview/7e6f29332bfc9e4a50bf653bd954c353579b403d?cid=3502c8805da84b25aa0305556012150b,0.49,0.902,9,-3.759,1,0.0493,0.00331,0.354,0.0695,0.825,128.427,audio_features,204720,4
Hard as a Rock,AC/DC,Hard As A Rock,AC/DC,Ballbreaker,1gij27s31tFKcTHa8f1u4g,61,https://p.scdn.co/mp3-preview/00022162af7e85dacaf5c5613108ade7dc8b76f1?cid=3502c8805da84b25aa0305556012150b,0.481,0.724,4,-5.642,1,0.0324,0.0018,0.177,0.11,0.2,116.322,audio_features,271000,4
Heatseeker,AC/DC,Heatseeker,AC/DC,Blow Up Your Video,0h3A3hdDq762DzIOKUoF21,57,https://p.scdn.co/mp3-preview/84ffeaff65c7c83255d88df1fd371e40d2efcfb2?cid=3502c8805da84b25aa0305556012150b,0.372,0.873,8,-5.049,1,0.0426,0.00225,0.137,0.0638,0.481,159.991,audio_features,230400,4
Hells Bells,AC/DC,Hells Bells,AC/DC,Back In Black,69QHm3pustz01CJRwdo20z,77,https://p.scdn.co/mp3-preview/63f8bf5471d413befecf9dd100665726f980b1b5?cid=3502c8805da84b25aa0305556012150b,0.389,0.873,4,-4.768,0,0.0475,0.00532,0.0055,0.273,0.303,106.767,audio_features,312293,4
Highway to Hell,AC/DC,Highway To Hell,AC/DC,Highway to Hell,2zYzyRzz6pRmhPzyfMEC8s,87,https://p.scdn.co/mp3-preview/e5dde93998c6b622d0ac236ceeaabd49481da078?cid=3502c8805da84b25aa0305556012150b,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,audio_features,208400,4
Let's Get It Up,AC/DC,Lets Get It Up,AC/DC,For Those About to Rock (We Salute You),1EJIEPzahlUiev5IQ1HnuL,55,https://p.scdn.co/mp3-preview/2af652ddecbe44e7ba176abeb69dd3e5ee058b76?cid=3502c8805da84b25aa0305556012150b,0.514,0.904,9,-4.173,1,0.0634,0.000702,0.0334,0.0815,0.682,108.927,audio_features,234027,4
Meltdown,AC/DC,Meltdown,AC/DC,Stiff Upper Lip,6x4UZ92rUZbRxUzvx0JVl6,41,https://p.scdn.co/mp3-preview/fc6c99c793ad16ad182c1fe3ec1c96daee3f4f72?cid=3502c8805da84b25aa0305556012150b,0.615,0.702,9,-3.825,1,0.0463,0.0631,4.86e-06,0.0805,0.599,111.865,audio_features,221067,4
Moneytalks,AC/DC,Moneytalks,AC/DC,The Razors Edge,5u5F7qLDvZjBSktaDp4HxB,71,https://p.scdn.co/mp3-preview/6020fddecdcae793e70ff3e3050ed2771ead79dd?cid=3502c8805da84b25aa0305556012150b,0.649,0.903,7,-3.677,1,0.0318,0.000841,0.000351,0.122,0.412,121.841,audio_features,225947,4
Play Ball,AC/DC,Play Ball,AC/DC,Rock or Bust,3fpzBeEHvuXKOl7QeVe1iz,59,https://p.scdn.co/mp3-preview/b5e7687aaa5e0f1862656b1c148428b0f63ddfff?cid=3502c8805da84b25aa0305556012150b,0.52,0.872,0,-4.354,1,0.0383,6.71e-06,0.246,0.207,0.449,120.006,audio_features,167133,4
I Put the Finger on You,AC/DC,Put The Finger On You,AC/DC,For Those About to Rock (We Salute You),7KGbYZv593eAMISQjYqTDT,43,https://p.scdn.co/mp3-preview/fd176439b8e9041b38851da04bb5565049b06721?cid=3502c8805da84b25aa0305556012150b,0.483,0.98,9,-4.033,1,0.0632,0.000167,0.664,0.169,0.759,133.816,audio_features,205707,4
Realize,AC/DC,Realize,AC/DC,POWER UP,4JDjZ2AzlHnde5uUy0TveV,57,https://p.scdn.co/mp3-preview/48ea493477e37bf477c49bc56ad8aed99c294ec5?cid=3502c8805da84b25aa0305556012150b,0.455,0.79,7,-4.049,1,0.0432,3.78e-06,0.00021,0.0866,0.22,125.964,audio_features,217467,4
Rock N Roll Train,AC/DC,Rock N Roll Train,AC/DC,Black Ice,4feXJ5IC3avXsVW9WNFSag,73,https://p.scdn.co/mp3-preview/a3dfa2624f8493088e85fcb44fe040028d3c8daa?cid=3502c8805da84b25aa0305556012150b,0.547,0.931,2,-2.356,1,0.0615,0.000998,0.0118,0.278,0.697,118.4,audio_features,261507,4
Rock or Bust,AC/DC,Rock Or Bust,AC/DC,Rock or Bust,2vyae4DvSU2gs8OMOGwXF2,68,https://p.scdn.co/mp3-preview/f613dd4bf9052ebdb186037efd2bc0887b626b54?cid=3502c8805da84b25aa0305556012150b,0.572,0.825,8,-3.977,1,0.04,7.13e-05,0.000134,0.134,0.56,98.057,audio_features,183053,4
Rock the Blues Away,AC/DC,Rock The Blues Away,AC/DC,Rock or Bust,5xGHeN58fFOcORW0pRZznn,55,https://p.scdn.co/mp3-preview/791367cdec4eb88d0a4634571470428ae44f338c?cid=3502c8805da84b25aa0305556012150b,0.537,0.88,5,-4.902,1,0.0353,0.000131,0.00531,0.135,0.37,120.976,audio_features,204373,4
Safe in New York City,AC/DC,Safe In New York City,AC/DC,Stiff Upper Lip,6xs17NF4X10Y7UGwto7S7Z,51,https://p.scdn.co/mp3-preview/4d599992dfc5b85406e6c1b91ee5247ebff5207d?cid=3502c8805da84b25aa0305556012150b,0.494,0.881,9,-4.773,1,0.037,0.0111,0.00953,0.104,0.623,160.942,audio_features,239467,4
Satellite Blues,AC/DC,Satellite Blues,AC/DC,Stiff Upper Lip,7lrBHMaXy0klQR4KFZuwAs,43,https://p.scdn.co/mp3-preview/d4e8e929dcb50a063555a69d0379b01057f5faed?cid=3502c8805da84b25aa0305556012150b,0.541,0.696,2,-3.988,1,0.0638,0.0329,0.00315,0.0593,0.786,118.901,audio_features,226333,4
Shoot to Thrill,AC/DC,Shoot To Thrill,AC/DC,Back In Black,0C80GCp0mMuBzLf3EAXqxv,76,https://p.scdn.co/mp3-preview/98123a7d31111d0d9a61c21d4ce6e9215a8f5903?cid=3502c8805da84b25aa0305556012150b,0.457,0.904,2,-5.303,1,0.0747,0.000239,0.0879,0.396,0.48,141.038,audio_features,317427,4
Shot In The Dark,AC/DC,Shot In The Dark,AC/DC,POWER UP,0sfdiwck2xr4PteGOdyOfz,66,https://p.scdn.co/mp3-preview/7fdcc89d5c784aec562e4fce16cc705853bceb9c?cid=3502c8805da84b25aa0305556012150b,0.599,0.787,2,-4.708,1,0.0338,2.07e-05,5.27e-05,0.064,0.822,114.065,audio_features,185133,4
Sink the Pink,AC/DC,Sink The Pink,AC/DC,Fly On the Wall,4tEO5sXXoEOtxEPZJ15pgO,45,https://p.scdn.co/mp3-preview/7f50e6f7ce2168c1235fb1d49f5d4b663770a314?cid=3502c8805da84b25aa0305556012150b,0.474,0.932,0,-5.31,1,0.0487,0.00149,0.467,0.439,0.531,123.787,audio_features,255147,4
Stiff Upper Lip,AC/DC,Stiff Upper Lip,AC/DC,Stiff Upper Lip,1KBuhAHzia2qoD4u6YhvER,67,https://p.scdn.co/mp3-preview/08d6bbbf83c5686aec4250fdf48a9f2f5b225224?cid=3502c8805da84b25aa0305556012150b,0.588,0.851,7,-4.206,1,0.033,0.0344,0.00773,0.16,0.706,123.691,audio_features,214560,4
That's the Way I Wanna Rock 'N' Roll,AC/DC,Thats The Way I Wanna Rock N Roll,AC/DC,Blow Up Your Video,0u8J52fqQhQXKvAC23ICvO,50,https://p.scdn.co/mp3-preview/e8a32ccb5c1430abb25248e44ae2bf153d476ae6?cid=3502c8805da84b25aa0305556012150b,0.395,0.951,2,-5.469,1,0.107,0.0484,0.00334,0.315,0.514,157.614,audio_features,225027,4
Thunderstruck,AC/DC,Thunderstruck,AC/DC,The Razors Edge,57bgtoPSgt236HzfBOd8kj,87,https://p.scdn.co/mp3-preview/788a028fa3a33141c817b1064e3159006edeaa8d?cid=3502c8805da84b25aa0305556012150b,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,audio_features,292880,4
Who Made Who,AC/DC,Who Made Who,AC/DC,Who Made Who,6rvldt6EoZwzogApECUCwd,72,https://p.scdn.co/mp3-preview/c8f25ab62224d71bd683604aa9ddcba85df60c0b?cid=3502c8805da84b25aa0305556012150b,0.514,0.825,0,-5.135,1,0.0487,0.000286,0.293,0.607,0.655,125.274,audio_features,207147,4
Amazing,Aerosmith,Amazing,Aerosmith,Get A Grip,60a5c4dDARPsksClcom0OD,68,,0.305,0.803,0,-4.668,1,0.0412,0.0495,0.000315,0.329,0.282,139.381,audio_features,355915,4
Angel,Aerosmith,Angel,Aerosmith,Permanent Vacation,3kfXUGIdBNpyr2gBvU3Guj,65,,0.239,0.819,3,-3.583,1,0.0393,0.304,0.0,0.0855,0.439,171.449,audio_features,308907,4
"Baby, Please Don't Go",Aerosmith,Baby Please Dont Go,Aerosmith,Honkin' On Bobo,0yvfGM5ql6TI4of0EDX1sl,36,,0.193,0.98,4,-3.909,0,0.166,0.00942,0.000873,0.17,0.52,204.81,audio_features,203667,4
Blind Man,Aerosmith,Blind Man,Aerosmith,Big Ones,269kNUOWTdD20N0s4ISsfN,36,,0.441,0.718,9,-5.479,1,0.0299,0.0015,0.0,0.0557,0.382,77.508,audio_features,241040,4
Chip Away The Stone,Aerosmith,Chip Away The Stone,Aerosmith,Gems,35pqMny3k7bGUzJiUCgZ0H,42,,0.405,0.972,7,-4.551,1,0.0397,0.146,8.55e-05,0.263,0.85,131.834,audio_features,242257,4
Crazy,Aerosmith,Crazy,Aerosmith,Get A Grip,3QxKpdTB8ZSFn8MGeCCpsQ,77,,0.348,0.848,6,-4.674,0,0.0396,0.0454,0.0,0.143,0.486,162.189,audio_features,316827,3
Cryin',Aerosmith,Cryin,Aerosmith,Get A Grip,4t1fWWJQs5V9YErfsrDslC,74,,0.452,0.813,9,-4.45,1,0.0319,8.31e-05,0.0381,0.274,0.539,105.757,audio_features,308560,3
Deuces Are Wild,Aerosmith,Deuces Are Wild,Aerosmith,Big Ones,4viUMIPk61pIvWUNDl0u4M,48,,0.493,0.838,0,-4.509,1,0.0303,0.00668,3.18e-05,0.104,0.426,74.956,audio_features,215867,4
Devil's Got a New Disguise,Aerosmith,Devils Got A New Disguise,Aerosmith,The Very Best Of Aerosmith,47skqbxKffzIeyMUA6A6Q1,26,,0.548,0.948,0,-3.253,1,0.0615,0.000553,7.48e-05,0.186,0.572,124.764,audio_features,267122,4
Dude (Looks Like A Lady),Aerosmith,Dude,Aerosmith,Permanent Vacation,6gQUbFwwdYXlKdmqRoWKJe,72,,0.54,0.982,4,-2.962,0,0.0458,0.435,3.37e-05,0.0457,0.91,126.294,audio_features,265773,4
Eat The Rich,Aerosmith,Eat The Rich,Aerosmith,Get A Grip,3O7LU72UPGoCzrOFU6LqGd,56,,0.573,0.932,11,-5.252,0,0.053,0.00324,0.000909,0.357,0.658,122.963,audio_features,250600,4
F.I.N.E.,Aerosmith,FINE,Aerosmith,Pump,2Dw17OjuW3d6PscCqf6D1I,44,,0.536,0.976,2,-3.805,1,0.0329,0.0454,0.000312,0.358,0.601,131.737,audio_features,249600,4
Falling In Love (Is Hard On The Knees),Aerosmith,Falling In Love,Aerosmith,Nine Lives,798M8UpxnEqKotUBuiDqhR,51,,0.608,0.869,7,-4.466,0,0.0321,0.0154,0.0,0.128,0.862,116.563,audio_features,205924,4
Fever,Aerosmith,Fever,Aerosmith,Get A Grip,42s962HgCuRSn6Ki8jry9D,40,,0.517,0.994,9,-3.817,1,0.105,0.00685,1.43e-06,0.205,0.466,89.641,audio_features,255067,4
Hangman Jury,Aerosmith,Hang Man Jury,Aerosmith,Permanent Vacation,05eJthbLhxvnWvB3XF9HaQ,44,,0.607,0.778,7,-5.739,1,0.0422,0.45,0.0,0.469,0.665,95.397,audio_features,333200,4
Helter Skelter,Aerosmith,Helter Skelter,Aerosmith,Pandora's Box,1qQTgpsbuVNX50OL5XPIJY,25,,0.222,0.907,9,-9.449,1,0.065,0.0157,1.93e-05,0.248,0.489,172.092,audio_features,194583,4
Hole In My Soul,Aerosmith,Hole In My Soul,Aerosmith,Nine Lives,7ornLs8NlxZ95IDWTyBIEj,63,,0.441,0.711,0,-4.675,1,0.0275,0.0066,0.0,0.279,0.183,75.307,audio_features,370411,4
"I Don't Want To Miss A Thing - From ""Armageddon"" Soundtrack",Aerosmith,I Dont Want To Miss A Thing,Aerosmith,I Don't Want To Miss A Thing EP,5qlJg0Wbj3sslxfwiaRNpq,78,,0.39,0.649,2,-5.163,1,0.0345,0.172,0.0,0.216,0.144,121.161,audio_features,299723,4
Jaded,Aerosmith,Jaded,Aerosmith,Just Push Play,6uhj7EIZZm3OwVr0gWfkQn,65,,0.518,0.866,9,-4.476,1,0.0509,0.00413,1.93e-05,0.246,0.671,117.983,audio_features,215824,4
Janie's Got A Gun,Aerosmith,Janies Got A Gun,Aerosmith,Big Ones,5fMwvrqujbQjUxcNPcYrUF,65,,0.633,0.823,5,-5.792,1,0.0287,0.0516,0.000496,0.188,0.444,115.107,audio_features,330533,4
Just Push Play,Aerosmith,Just Push Play,Aerosmith,Just Push Play,458JakDyh6zvZtLG6iFfAs,40,,0.577,0.961,2,-5.715,1,0.0891,0.0612,0.0,0.0988,0.362,100.024,audio_features,230714,4
Lightning Strikes,Aerosmith,LIGHTNING STRIKES,Aerosmith,Rock In A Hard Place,2ervbJ7zh4Ry2hggiNeT3q,41,,0.496,0.892,4,-6.715,1,0.0339,0.025,0.0215,0.183,0.642,147.956,audio_features,266750,4
Legendary Child,Aerosmith,Legendary Child,Aerosmith,Music From Another Dimension! (Expanded Edition),1dPmDV7sOUy25jWnuR8AQ8,29,,0.431,0.936,4,-3.659,0,0.0511,0.000189,2.36e-05,0.213,0.346,110.199,audio_features,253328,4
Let The Music Do The Talking,Aerosmith,Let The Music Do The Talking,Aerosmith,Done With Mirrors,2oUp3nS5lhoHZsoaLaKdRa,38,,0.386,0.939,0,-10.205,1,0.056,0.0149,6.84e-06,0.316,0.448,171.463,audio_features,227040,4
Livin' On The Edge,Aerosmith,Livin On The Edge,Aerosmith,Big Ones,6OZAcgTPxmjUTuiatU0Viq,63,,0.341,0.862,2,-4.256,1,0.032,0.000437,0.563,0.218,0.29,84.42,audio_features,381400,4
Love In An Elevator - Single Version,Aerosmith,Love In An Elevator,Aerosmith,Big Ones,1l6DV8qhmCdgOKLSAFzPOe,58,,0.449,0.961,4,-4.305,1,0.0701,0.00854,0.00276,0.343,0.602,93.956,audio_features,321827,4
Lover Alot,Aerosmith,Lover Alot,Aerosmith,Music From Another Dimension! (Expanded Edition),15tfmQAoSoPT6qMAQ9Jt02,28,,0.432,0.991,10,-3.956,0,0.0812,0.000199,0.000145,0.125,0.512,159.981,audio_features,215352,4
Magic Touch,Aerosmith,Magic Touch,Aerosmith,Permanent Vacation,3RgVfzLjDui6uzkLNci9wD,37,,0.475,0.953,2,-3.634,1,0.0993,0.00252,2.27e-05,0.2,0.365,123.777,audio_features,277840,4
Monkey On My Back,Aerosmith,Monkey On My Back,Aerosmith,Pump,7HWwpbHbMRrCyqOyrRfExZ,35,,0.519,0.975,2,-3.861,1,0.0756,0.0125,0.0224,0.342,0.348,123.749,audio_features,237227,4
Nine Lives,Aerosmith,Nine Lives,Aerosmith,Nine Lives,1baMSM7DZXYKVTHyxnYgzd,44,,0.344,0.982,2,-3.84,1,0.157,0.00079,0.0,0.279,0.19,167.544,audio_features,241295,4
Pink,Aerosmith,Pink,Aerosmith,Nine Lives,0Xl2pAlIRE6ANULPdEI7fx,66,,0.473,0.768,0,-4.708,1,0.037,0.00994,0.0,0.145,0.826,171.669,audio_features,235474,4
Rag Doll,Aerosmith,Rag Doll,Aerosmith,Permanent Vacation,2KCJYwlBWxdlwyIYckIf6V,65,,0.579,0.954,4,-3.947,1,0.0558,0.583,0.0,0.139,0.583,93.448,audio_features,265693,4
Sunshine,Aerosmith,Sunshine,Aerosmith,Just Push Play,3GhzPJhE8edsDkaJHz1QsF,45,,0.504,0.875,2,-4.062,1,0.0354,0.000989,0.0,0.397,0.549,110.001,audio_features,217903,4
Sweet Emotion,Aerosmith,Sweet Emotion,Aerosmith,Toys In The Attic,73TxYZd0lBCVRrHawrAglA,77,,0.379,0.76,9,-10.961,1,0.0378,0.00298,0.0296,0.104,0.491,99.436,audio_features,274088,4
Taste of India,Aerosmith,Taste Of India,Aerosmith,Nine Lives,361HouJFYq2BPPDtXh6jAb,38,,0.515,0.944,9,-4.906,1,0.0531,0.00157,5.89e-05,0.109,0.22,113.418,audio_features,353715,4
The Other Side - Single Version,Aerosmith,The Other Side,Aerosmith,Big Ones,2fcRBvP5G8mlJiTPXnfmE2,47,,0.56,0.973,2,-4.345,1,0.0466,0.0613,0.00161,0.394,0.829,126.854,audio_features,244200,4
Walk On Water,Aerosmith,Walk On Water,Aerosmith,Big Ones,7AFFvOSqvp6GPFB5xIrSuA,32,,0.56,0.91,11,-5.882,0,0.0449,7.74e-05,0.00578,0.0581,0.604,110.703,audio_features,296533,4
What It Takes,Aerosmith,What It Takes,Aerosmith,Big Ones,2fAYTT9kcUm8tnUrhD80sC,58,,0.522,0.738,0,-6.423,1,0.031,0.0286,5.8e-06,0.4,0.461,142.702,audio_features,310533,4
What Kind of Love Are You On,Aerosmith,What Kind Of Love Are You On,Aerosmith,Armageddon - The Album,5skYWyzRDaGqAF9nGx2UoN,33,https://p.scdn.co/mp3-preview/cd7aa4411d4d4666800b3cf13f96a56dd23073c2?cid=3502c8805da84b25aa0305556012150b,0.472,0.974,7,-3.753,1,0.161,0.00521,0.0486,0.272,0.154,95.718,audio_features,195760,4
Black Velvet,Alannah Myles,Black Velvet,Alannah Myles,Alannah Myles,1KU5EHSz04JhGg3rReGJ0N,74,https://p.scdn.co/mp3-preview/cad3957d658a646ba1f80547eee34b44017858cd?cid=3502c8805da84b25aa0305556012150b,0.754,0.366,8,-10.07,1,0.0312,0.273,9.04e-05,0.106,0.469,91.147,audio_features,287440,4
Love Is,Alannah Myles,Love Is,Alannah Myles,Alannah Myles,3IYb8pVjQG77awbkC4CuBV,45,https://p.scdn.co/mp3-preview/54278c9c82229f59c15b8c60c22ceff920356170?cid=3502c8805da84b25aa0305556012150b,0.654,0.924,2,-7.44,1,0.0969,0.00309,0.00231,0.316,0.506,101.154,audio_features,216107,4
A Looking in View,Alice in Chains,A Looking In View,Alice In Chains,Black Gives Way to Blue,5KEEDy3iZTL4MQGEHZdLah,46,https://p.scdn.co/mp3-preview/2908a4eac15e709f01d3b7ebc69e1eb2a57e1ba1?cid=3502c8805da84b25aa0305556012150b,0.274,0.839,6,-4.264,1,0.0489,5.3e-06,0.0326,0.257,0.217,122.182,audio_features,426000,4
