Song Name,Artist Name,Debut Date,Peak Pos,Peak Weeks,Peak Date
State Of My Head,Shinedown,11.07.15,1,6 WKS,02.06.16
How Did You Love,Shinedown,10.29.16,1,4 WKS,03.04.17
Bully,Shinedown,01.21.12,1,12 WKS,02.25.12
Adrenaline,Shinedown,08.31.13,4,12 Wks,02.01.14
Enemies,Shinedown,09.22.12,2,12 Wks,12.22.12
I Dare You,Shinedown,01.28.06,2,12 Wks,04.15.06
Atlas Falls,Shinedown,04.11.20,1,2 WKS,08.22.20
Get Up,Shinedown,08.25.18,1,2 WKS,12.01.18
The Crow & The Butterfly,Shinedown,04.24.10,1,1 WKS,07.31.10
Unity,Shinedown,05.19.12,1,4 WKS,08.04.12
I'll Follow You,Shinedown,02.23.13,2,12 Wks,05.25.13
Monsters,Shinedown,03.16.19,1,1 WKS,06.29.19
Devil,Shinedown,03.17.18,1,1 WKS,06.02.18
Simple Man,Shinedown,06.19.04,5,12 Wks,09.04.04
Cut The Cord,Shinedown,07.18.15,1,7 WKS,08.08.15
Devour,Shinedown,05.17.08,1,3 WKS,08.23.08
ATTENTION ATTENTION,Shinedown,10.05.19,1,1 WKS,02.01.20
A Symptom Of Being Human,Shinedown,10.07.23,1,4 WKS,01.20.24
Dead Don't Die,Shinedown,02.04.23,2,12 Wks,03.25.23
Planet Zero,Shinedown,02.05.22,1,8 WKS,03.05.22
Daylight,Shinedown,06.11.22,1,2 WKS,08.20.22
Asking For It,Shinedown,05.07.16,2,12 Wks,08.06.16
Photograph,Def Leppard,02.12.83,1,6 WKS,03.19.83
Hysteria,Def Leppard,09.12.87,9,12 Wks,01.23.88
ROCK OF AGES,Def Leppard,04.23.83,1,1 WKS,06.04.83
Foolin',Def Leppard,07.09.83,9,12 Wks,08.06.83
Stand Up (Kick Love Into Motion),Def Leppard,04.18.92,1,5 WKS,01.09.93
Promises,Def Leppard,06.05.99,1,3 WKS,06.26.99
Paper Sun,Def Leppard,09.11.99,11,12 Wks,10.16.99
Armageddon It,Def Leppard,11.05.88,3,12 Wks,12.24.88
Have You Ever Needed Someone So Bad,Def Leppard,08.22.92,7,12 Wks,09.05.92
Too Late For Love,Def Leppard,05.21.83,9,12 Wks,06.25.83
Two Steps Behind,Def Leppard,07.24.93,5,12 Wks,09.18.93
Love Bites,Def Leppard,08.13.88,3,12 Wks,09.24.88
Animal,Def Leppard,08.15.87,5,12 Wks,10.03.87
Let's Get Rocked,Def Leppard,04.04.92,1,1 WKS,04.11.92
Work It Out,Def Leppard,05.11.96,6,12 Wks,05.25.96
Make Love Like A Man,Def Leppard,05.23.92,3,12 Wks,06.20.92
Tonight,Def Leppard,03.13.93,13,12 Wks,05.01.93
Pour Some Sugar On Me,Def Leppard,01.30.88,25,12 Wks,03.19.88
Now,Def Leppard,08.03.02,26,12 Wks,08.10.02
Four Letter Word,Def Leppard,12.21.02,30,12 Wks,01.25.03
Rocket,Def Leppard,02.25.89,5,12 Wks,03.25.89
Kick,Def Leppard,04.09.22,34,12 Wks,04.30.22
Day After Day,Def Leppard,02.05.00,22,12 Wks,03.04.00
Women,Def Leppard,08.01.87,7,12 Wks,08.22.87
Desert Song,Def Leppard,10.23.93,12,12 Wks,11.06.93
COMIN' UNDER FIRE,Def Leppard,09.17.83,24,12 Wks,09.17.83
Let It Go,Def Leppard,08.22.81,34,12 Wks,08.22.81
BILLY's GOT A GUN,Def Leppard,10.15.83,33,12 Wks,10.29.83
"ACTION, NOT WORDS",Def Leppard,10.15.83,42,12 Wks,10.15.83
Elected,Def Leppard,11.07.92,22,12 Wks,11.07.92
Through Glass,Stone Sour,06.17.06,1,7 WKS,09.16.06
Tired,Stone Sour,08.10.13,1,1 WKS,01.25.14
Say You'll Haunt Me,Stone Sour,07.24.10,1,8 WKS,10.02.10
Absolute Zero,Stone Sour,09.08.12,2,12 Wks,11.17.12
Song #3,Stone Sour,05.13.17,1,4 WKS,07.01.17
Bother,Stone Sour,08.31.02,2,12 Wks,12.07.02
Sillyworld,Stone Sour,12.02.06,2,12 Wks,04.07.07
Rose Red Violent Blue (This Song Is Dumb & So Am I),Stone Sour,10.14.17,10,12 Wks,02.17.18
Do Me A Favor,Stone Sour,03.02.13,4,12 Wks,06.15.13
Hesitate,Stone Sour,12.04.10,6,12 Wks,03.12.11
Made Of Scars,Stone Sour,05.19.07,12,12 Wks,08.18.07
Digital (Did You Tell),Stone Sour,05.07.11,16,12 Wks,07.09.11
Zzyzx Rd.,Stone Sour,11.10.07,29,12 Wks,01.05.08
Inhale,Stone Sour,02.22.03,18,12 Wks,04.05.03
St. Marie,Stone Sour,04.28.18,31,12 Wks,05.26.18
Boulevard Of Broken Dreams,Green Day,11.20.04,1,14 WKS,01.01.05
Holiday,Green Day,04.02.05,1,3 WKS,06.04.05
American Idiot,Green Day,08.21.04,5,12 Wks,10.30.04
When I Come Around,Green Day,12.10.94,2,12 Wks,03.04.95
Brain Stew/Jaded,Green Day,12.30.95,8,12 Wks,03.16.96
Basket Case,Green Day,08.27.94,9,12 Wks,10.15.94
Time Of Your Life (Good Riddance),Green Day,12.13.97,7,12 Wks,02.14.98
Still Breathing,Green Day,11.12.16,1,1 WKS,02.11.17
Father Of All...,Green Day,09.21.19,1,1 WKS,11.09.19
Oh Yeah!,Green Day,02.01.20,1,2 WKS,04.04.20
Know Your Enemy,Green Day,05.02.09,1,3 WKS,05.30.09
Bang Bang,Green Day,08.27.16,1,7 WKS,09.10.16
Revolution Radio,Green Day,06.03.17,9,12 Wks,07.15.17
