Decade,Song,Artist,Weeks at Number One,Date,Song of the Year
1980,Emotion in Motion,Ric Ocasek,1,1986-10-04,False
1980,Amanda,Boston,3,1986-10-11,False
1980,Hip to Be Square,Huey Lewis and the News,1,1986-11-01,False
1980,Don't Get Me Wrong,The Pretenders,3,1986-11-08,False
1980,I Want to Make the World Turn Around,Steve Miller Band,6,1986-11-29,False
1980,It's in the Way That You Use It,Eric Clapton,1,1987-01-10,False
1980,My Baby,The Pretenders,2,1987-01-17,False
1980,Livin' on a Prayer,Bon Jovi,2,1987-01-31,False
1980,Midnight Blue,Lou Gramm,5,1987-02-14,True
1980,I'm No Angel,Gregg Allman Band,1,1987-03-21,False
1980,Come as You Are,Peter Wolf,1,1987-03-28,False
1980,With or Without You,U2,5,1987-04-04,False
1980,Jammin' Me,Tom Petty and the Heartbreakers,4,1987-05-09,False
1980,Shakedown,Bob Seger,4,1987-06-06,False
1980,Don't Mean Nothing,Richard Marx,1,1987-07-04,False
1980,Give to Live,Sammy Hagar,3,1987-07-11,False
1980,Touch of Grey,Grateful Dead,3,1987-08-01,False
1980,Paper in Fire,John Cougar Mellencamp,5,1987-08-22,False
1980,Learning to Fly,Pink Floyd,3,1987-09-26,False
1980,Brilliant Disguise,Bruce Springsteen,1,1987-10-17,False
1980,Love Will Find a Way,Yes,3,1987-10-24,False
1980,Cherry Bomb,John Cougar Mellencamp,1,1987-11-14,False
1980,Tunnel of Love,Bruce Springsteen,4,1987-11-21,False
1980,Say You Will,Foreigner,4,1987-12-19,False
1980,On the Turning Away,Pink Floyd,1,1988-01-16,False
1980,Just Like Paradise,David Lee Roth,4,1988-01-23,False
1980,Heaven Knows,Robert Plant,6,1988-02-20,False
1980,I Wish I Had a Girl,Henry Lee Summer,1,1988-04-02,False
1980,Tall Cool One,Robert Plant,4,1988-04-09,False
1980,Only a Memory,The Smithereens,1,1988-05-07,False
1980,The Valley Road,Bruce Hornsby and the Range,3,1988-05-14,False
1980,Black and Blue,Van Halen,3,1988-06-04,False
1980,Roll with It,Steve Winwood,4,1988-06-25,False
1980,When It's Love,Van Halen,1,1988-07-23,False
1980,Simply Irresistible,Robert Palmer,3,1988-07-30,False
