Song Name,Artist Name,Debut Date,Peak Pos,Peak Weeks,Peak Date,Scraped Band
The Voice,The Moody Blues,06.06.81,1,4 WKS,06.27.81,The-Moody-Blues
The Other Side Of Life,The Moody Blues,06.07.86,11,12 Wks,08.02.86,The-Moody-Blues
Your Wildest Dreams,The Moody Blues,04.19.86,2,12 Wks,05.17.86,The-Moody-Blues
Meanwhile,The Moody Blues,08.22.81,11,12 Wks,09.12.81,The-Moody-Blues
SITTING AT THE WHEEL,The Moody Blues,09.03.83,3,12 Wks,10.08.83,The-Moody-Blues
GEMINI DREAM,The Moody Blues,06.06.81,13,12 Wks,07.04.81,The-Moody-Blues
I Know You're Out There Somewhere,The Moody Blues,06.04.88,2,12 Wks,06.25.88,The-Moody-Blues
Say It With Love,The Moody Blues,06.22.91,22,12 Wks,07.27.91,The-Moody-Blues
Blue World,The Moody Blues,10.22.83,32,12 Wks,11.26.83,The-Moody-Blues
"22,000 Days",The Moody Blues,07.04.81,38,12 Wks,07.11.81,The-Moody-Blues
Here Comes The Weekend,The Moody Blues,09.03.88,50,12 Wks,09.03.88,The-Moody-Blues
Awake,Godsmack,10.14.00,1,1 WKS,02.03.01,Godsmack
Keep Away,Godsmack,05.08.99,5,12 Wks,09.04.99,Godsmack
Whatever,Godsmack,10.24.98,7,12 Wks,03.06.99,Godsmack
I Stand Alone,Godsmack,02.16.02,1,4 WKS,05.18.02,Godsmack
Voodoo,Godsmack,11.20.99,5,12 Wks,03.04.00,Godsmack
Love-Hate-Sex-Pain,Godsmack,07.24.10,2,12 Wks,10.30.10,Godsmack
Greed,Godsmack,03.24.01,3,12 Wks,05.19.01,Godsmack
Whiskey Hangover,Godsmack,06.27.09,1,3 WKS,09.12.09,Godsmack
Cryin' Like A Bitch!,Godsmack,02.27.10,1,5 WKS,04.24.10,Godsmack
Bulletproof,Godsmack,03.10.18,1,5 WKS,05.26.18,Godsmack
The Enemy,Godsmack,11.18.06,4,12 Wks,02.03.07,Godsmack
Straight Out Of Line,Godsmack,02.15.03,1,2 WKS,03.29.03,Godsmack
Speak,Godsmack,02.25.06,1,6 WKS,03.25.06,Godsmack
Unforgettable,Godsmack,02.08.20,1,5 WKS,05.16.20,Godsmack
When Legends Rise,Godsmack,09.22.18,1,5 WKS,12.15.18,Godsmack
Serenity,Godsmack,07.05.03,7,12 Wks,10.11.03,Godsmack
Re-Align,Godsmack,11.29.03,3,12 Wks,03.20.04,Godsmack
Running Blind,Godsmack,03.20.04,3,12 Wks,06.26.04,Godsmack
Touche,Godsmack Featuring Dropbox,07.31.04,7,12 Wks,10.30.04,Godsmack
Bad Religion,Godsmack,06.17.00,8,12 Wks,09.30.00,Godsmack
Under Your Scars,Godsmack,04.13.19,1,2 WKS,07.27.19,Godsmack
Shine Down,Godsmack,07.01.06,4,12 Wks,10.14.06,Godsmack
Good Times Bad Times,Godsmack,10.20.07,8,12 Wks,12.01.07,Godsmack
Rocky Mountain Way,Godsmack,04.28.12,5,12 Wks,06.09.12,Godsmack
1000hp,Godsmack,06.28.14,1,3 WKS,08.23.14,Godsmack
Something Different,Godsmack,10.11.14,6,12 Wks,12.20.14,Godsmack
Surrender,Godsmack,10.08.22,1,5 WKS,11.12.22,Godsmack
Soul On Fire,Godsmack,03.11.23,2,12 Wks,05.13.23,Godsmack
What's Next?,Godsmack,05.30.15,11,12 Wks,07.04.15,Godsmack
Saints And Sinners,Godsmack,04.16.11,25,12 Wks,06.04.11,Godsmack
Bad Magick,Godsmack,09.15.01,12,12 Wks,10.06.01,Godsmack
Come Together,Godsmack,04.08.17,21,12 Wks,05.06.17,Godsmack
Inside Yourself,Godsmack,11.21.15,32,12 Wks,11.21.15,Godsmack
White Trash Circus,"Motley Crue, Godsmack, Theory Of A Deadman, Drowning Pool & Charm City Devils",05.16.09,37,12 Wks,05.23.09,Godsmack
Truth,Godsmack,02.24.24,25,12 Wks,03.02.24,Godsmack
The Pot,Tool,08.05.06,1,4 WKS,11.25.06,Tool
Schism,Tool,05.19.01,2,12 Wks,06.02.01,Tool
Parabola,Tool,04.20.02,10,12 Wks,08.03.02,Tool
Stinkfist,Tool,09.28.96,17,12 Wks,12.14.96,Tool
Sober,Tool,10.09.93,13,12 Wks,12.18.93,Tool
AEnema,Tool,08.02.97,25,12 Wks,08.30.97,Tool
Lateralus,Tool,11.17.01,14,12 Wks,01.12.02,Tool
Vicarious,Tool,05.06.06,2,12 Wks,06.17.06,Tool
Jambi,Tool,02.10.07,7,12 Wks,05.12.07,Tool
Fear Inoculum,Tool,08.17.19,2,12 Wks,10.19.19,Tool
Pneuma,Tool,01.04.20,15,12 Wks,04.11.20,Tool
Forty Six & 2,Tool,11.15.97,22,12 Wks,12.13.97,Tool
H.,Tool,02.22.97,23,12 Wks,03.22.97,Tool
Prison Sex,Tool,02.26.94,32,12 Wks,04.02.94,Tool
Wanted Dead Or Alive,Bon Jovi,11.01.86,13,12 Wks,12.13.86,Bon-Jovi
Born To Be My Baby,Bon Jovi,10.08.88,7,12 Wks,12.10.88,Bon-Jovi
You Give Love A Bad Name,Bon Jovi,08.23.86,9,12 Wks,10.25.86,Bon-Jovi
Livin' On A Prayer,Bon Jovi,12.13.86,1,2 WKS,01.31.87,Bon-Jovi
Keep The Faith,Bon Jovi,10.24.92,1,1 WKS,11.21.92,Bon-Jovi
RUNAWAY,Bon Jovi,02.11.84,5,12 Wks,04.07.84,Bon-Jovi
I'll Be There For You,Bon Jovi,01.28.89,5,12 Wks,03.18.89,Bon-Jovi
Never Say Goodbye,Bon Jovi,03.14.87,11,12 Wks,04.11.87,Bon-Jovi
Lay Your Hands On Me,Bon Jovi,05.27.89,20,12 Wks,06.17.89,Bon-Jovi
Bad Medicine,Bon Jovi,09.24.88,3,12 Wks,10.08.88,Bon-Jovi
Silent Night,Bon Jovi,12.28.85,24,12 Wks,01.25.86,Bon-Jovi
Only Lonely,Bon Jovi,05.04.85,28,12 Wks,05.18.85,Bon-Jovi
In And Out Of Love,Bon Jovi,07.06.85,37,12 Wks,07.13.85,Bon-Jovi
She Don't Know Me,Bon Jovi,05.05.84,44,12 Wks,06.09.84,Bon-Jovi
Bed Of Roses,Bon Jovi,01.30.93,25,12 Wks,02.20.93,Bon-Jovi
In These Arms,Bon Jovi,04.17.93,32,12 Wks,05.01.93,Bon-Jovi
I'll Sleep When I'm Dead,Bon Jovi,07.10.93,29,12 Wks,07.17.93,Bon-Jovi
Living In Sin,Bon Jovi,10.21.89,37,12 Wks,11.11.89,Bon-Jovi
Everyday,Bon Jovi,09.28.02,31,12 Wks,10.26.02,Bon-Jovi
The Boys Are Back In Town,Bon Jovi,12.16.89,48,12 Wks,12.16.89,Bon-Jovi
Have A Nice Day,Bon Jovi,09.24.05,38,12 Wks,09.24.05,Bon-Jovi
Bounce,Bon Jovi,03.01.03,39,12 Wks,03.01.03,Bon-Jovi
Second Chance,Shinedown,09.20.08,1,10 WKS,12.27.08,Shinedown
45,Shinedown,11.01.03,3,12 Wks,05.01.04,Shinedown
Diamond Eyes (Boom-Lay Boom-Lay Boom),Shinedown,11.20.10,1,3 WKS,03.12.11,Shinedown
Save Me,Shinedown,08.27.05,1,12 WKS,11.19.05,Shinedown
Sound Of Madness,Shinedown,04.11.09,1,3 WKS,06.20.09,Shinedown
Heroes,Shinedown,07.15.06,4,12 Wks,11.18.06,Shinedown
If You Only Knew,Shinedown,09.19.09,2,12 Wks,01.30.10,Shinedown
Burning Bright,Shinedown,10.30.04,2,12 Wks,02.05.05,Shinedown
Fly From The Inside,Shinedown,04.19.03,5,12 Wks,09.06.03,Shinedown
State Of My Head,Shinedown,11.07.15,1,6 WKS,02.06.16,Shinedown
How Did You Love,Shinedown,10.29.16,1,4 WKS,03.04.17,Shinedown
Bully,Shinedown,01.21.12,1,12 WKS,02.25.12,Shinedown
Adrenaline,Shinedown,08.31.13,4,12 Wks,02.01.14,Shinedown
Enemies,Shinedown,09.22.12,2,12 Wks,12.22.12,Shinedown
I Dare You,Shinedown,01.28.06,2,12 Wks,04.15.06,Shinedown
Atlas Falls,Shinedown,04.11.20,1,2 WKS,08.22.20,Shinedown
Get Up,Shinedown,08.25.18,1,2 WKS,12.01.18,Shinedown
The Crow & The Butterfly,Shinedown,04.24.10,1,1 WKS,07.31.10,Shinedown
Unity,Shinedown,05.19.12,1,4 WKS,08.04.12,Shinedown
I'll Follow You,Shinedown,02.23.13,2,12 Wks,05.25.13,Shinedown
Monsters,Shinedown,03.16.19,1,1 WKS,06.29.19,Shinedown
Devil,Shinedown,03.17.18,1,1 WKS,06.02.18,Shinedown
Simple Man,Shinedown,06.19.04,5,12 Wks,09.04.04,Shinedown
Cut The Cord,Shinedown,07.18.15,1,7 WKS,08.08.15,Shinedown
Devour,Shinedown,05.17.08,1,3 WKS,08.23.08,Shinedown
ATTENTION ATTENTION,Shinedown,10.05.19,1,1 WKS,02.01.20,Shinedown
A Symptom Of Being Human,Shinedown,10.07.23,1,4 WKS,01.20.24,Shinedown
Dead Don't Die,Shinedown,02.04.23,2,12 Wks,03.25.23,Shinedown
Planet Zero,Shinedown,02.05.22,1,8 WKS,03.05.22,Shinedown
Daylight,Shinedown,06.11.22,1,2 WKS,08.20.22,Shinedown
Asking For It,Shinedown,05.07.16,2,12 Wks,08.06.16,Shinedown
Photograph,Def Leppard,02.12.83,1,6 WKS,03.19.83,Def-Leppard
Hysteria,Def Leppard,09.12.87,9,12 Wks,01.23.88,Def-Leppard
ROCK OF AGES,Def Leppard,04.23.83,1,1 WKS,06.04.83,Def-Leppard
Foolin',Def Leppard,07.09.83,9,12 Wks,08.06.83,Def-Leppard
Stand Up (Kick Love Into Motion),Def Leppard,04.18.92,1,5 WKS,01.09.93,Def-Leppard
Promises,Def Leppard,06.05.99,1,3 WKS,06.26.99,Def-Leppard
Paper Sun,Def Leppard,09.11.99,11,12 Wks,10.16.99,Def-Leppard
Armageddon It,Def Leppard,11.05.88,3,12 Wks,12.24.88,Def-Leppard
Have You Ever Needed Someone So Bad,Def Leppard,08.22.92,7,12 Wks,09.05.92,Def-Leppard
Too Late For Love,Def Leppard,05.21.83,9,12 Wks,06.25.83,Def-Leppard
Two Steps Behind,Def Leppard,07.24.93,5,12 Wks,09.18.93,Def-Leppard
Love Bites,Def Leppard,08.13.88,3,12 Wks,09.24.88,Def-Leppard
Animal,Def Leppard,08.15.87,5,12 Wks,10.03.87,Def-Leppard
Let's Get Rocked,Def Leppard,04.04.92,1,1 WKS,04.11.92,Def-Leppard
Work It Out,Def Leppard,05.11.96,6,12 Wks,05.25.96,Def-Leppard
Make Love Like A Man,Def Leppard,05.23.92,3,12 Wks,06.20.92,Def-Leppard
Tonight,Def Leppard,03.13.93,13,12 Wks,05.01.93,Def-Leppard
Pour Some Sugar On Me,Def Leppard,01.30.88,25,12 Wks,03.19.88,Def-Leppard
Now,Def Leppard,08.03.02,26,12 Wks,08.10.02,Def-Leppard
Four Letter Word,Def Leppard,12.21.02,30,12 Wks,01.25.03,Def-Leppard
Rocket,Def Leppard,02.25.89,5,12 Wks,03.25.89,Def-Leppard
Kick,Def Leppard,04.09.22,34,12 Wks,04.30.22,Def-Leppard
Day After Day,Def Leppard,02.05.00,22,12 Wks,03.04.00,Def-Leppard
Women,Def Leppard,08.01.87,7,12 Wks,08.22.87,Def-Leppard
Desert Song,Def Leppard,10.23.93,12,12 Wks,11.06.93,Def-Leppard
COMIN' UNDER FIRE,Def Leppard,09.17.83,24,12 Wks,09.17.83,Def-Leppard
Let It Go,Def Leppard,08.22.81,34,12 Wks,08.22.81,Def-Leppard
BILLY's GOT A GUN,Def Leppard,10.15.83,33,12 Wks,10.29.83,Def-Leppard
"ACTION, NOT WORDS",Def Leppard,10.15.83,42,12 Wks,10.15.83,Def-Leppard
Elected,Def Leppard,11.07.92,22,12 Wks,11.07.92,Def-Leppard
Through Glass,Stone Sour,06.17.06,1,7 WKS,09.16.06,Stone-Sour
Tired,Stone Sour,08.10.13,1,1 WKS,01.25.14,Stone-Sour
Say You'll Haunt Me,Stone Sour,07.24.10,1,8 WKS,10.02.10,Stone-Sour
Absolute Zero,Stone Sour,09.08.12,2,12 Wks,11.17.12,Stone-Sour
Song #3,Stone Sour,05.13.17,1,4 WKS,07.01.17,Stone-Sour
Bother,Stone Sour,08.31.02,2,12 Wks,12.07.02,Stone-Sour
Sillyworld,Stone Sour,12.02.06,2,12 Wks,04.07.07,Stone-Sour
Rose Red Violent Blue (This Song Is Dumb & So Am I),Stone Sour,10.14.17,10,12 Wks,02.17.18,Stone-Sour
Do Me A Favor,Stone Sour,03.02.13,4,12 Wks,06.15.13,Stone-Sour
Hesitate,Stone Sour,12.04.10,6,12 Wks,03.12.11,Stone-Sour
Made Of Scars,Stone Sour,05.19.07,12,12 Wks,08.18.07,Stone-Sour
Digital (Did You Tell),Stone Sour,05.07.11,16,12 Wks,07.09.11,Stone-Sour
Zzyzx Rd.,Stone Sour,11.10.07,29,12 Wks,01.05.08,Stone-Sour
Inhale,Stone Sour,02.22.03,18,12 Wks,04.05.03,Stone-Sour
St. Marie,Stone Sour,04.28.18,31,12 Wks,05.26.18,Stone-Sour
Boulevard Of Broken Dreams,Green Day,11.20.04,1,14 WKS,01.01.05,Green-Day
Holiday,Green Day,04.02.05,1,3 WKS,06.04.05,Green-Day
American Idiot,Green Day,08.21.04,5,12 Wks,10.30.04,Green-Day
When I Come Around,Green Day,12.10.94,2,12 Wks,03.04.95,Green-Day
Brain Stew/Jaded,Green Day,12.30.95,8,12 Wks,03.16.96,Green-Day
Basket Case,Green Day,08.27.94,9,12 Wks,10.15.94,Green-Day
Time Of Your Life (Good Riddance),Green Day,12.13.97,7,12 Wks,02.14.98,Green-Day
Still Breathing,Green Day,11.12.16,1,1 WKS,02.11.17,Green-Day
Father Of All...,Green Day,09.21.19,1,1 WKS,11.09.19,Green-Day
Oh Yeah!,Green Day,02.01.20,1,2 WKS,04.04.20,Green-Day
Know Your Enemy,Green Day,05.02.09,1,3 WKS,05.30.09,Green-Day
Bang Bang,Green Day,08.27.16,1,7 WKS,09.10.16,Green-Day
Revolution Radio,Green Day,06.03.17,9,12 Wks,07.15.17,Green-Day
Wake Me Up When September Ends,Green Day,07.30.05,12,12 Wks,09.17.05,Green-Day
Let Yourself Go,Green Day,10.13.12,11,12 Wks,11.17.12,Green-Day
Oh Love,Green Day,08.04.12,5,12 Wks,08.25.12,Green-Day
The American Dream Is Killing Me,Green Day,11.04.23,1,8 WKS,11.25.23,Green-Day
Longview,Green Day,05.21.94,13,12 Wks,07.02.94,Green-Day
East Jesus Nowhere,Green Day,10.17.09,35,12 Wks,10.24.09,Green-Day
21 Guns,Green Day,06.27.09,17,12 Wks,08.15.09,Green-Day
Hitchin' A Ride,Green Day,09.20.97,9,12 Wks,10.25.97,Green-Day
She,Green Day,05.20.95,18,12 Wks,07.22.95,Green-Day
Pollyanna,Green Day,06.19.21,27,12 Wks,08.07.21,Green-Day
X-Kid,Green Day,02.16.13,23,12 Wks,04.13.13,Green-Day
Geek Stink Breath,Green Day,10.07.95,9,12 Wks,10.28.95,Green-Day
Minority,Green Day,09.16.00,15,12 Wks,10.21.00,Green-Day
Working Class Hero,Green Day,05.19.07,18,12 Wks,06.23.07,Green-Day
Warning,Green Day,12.30.00,24,12 Wks,02.17.01,Green-Day
J.A.R.,Green Day,08.12.95,17,12 Wks,09.09.95,Green-Day
Walking Contradiction,Green Day,06.22.96,25,12 Wks,07.20.96,Green-Day
The Saints Are Coming,U2 & Green Day,10.28.06,33,12 Wks,11.18.06,Green-Day
Dilemma,Green Day,02.10.24,13,12 Wks,03.02.24,Green-Day
Need A Little Taste Of Love,The Doobie Brothers,06.03.89,3,12 Wks,07.29.89,The-Doobie-Brothers
Dangerous,The Doobie Brothers,04.13.91,2,12 Wks,05.11.91,The-Doobie-Brothers
Rollin' On,The Doobie Brothers,07.06.91,12,12 Wks,08.17.91,The-Doobie-Brothers
The Doctor,The Doobie Brothers,05.20.89,1,3 WKS,05.27.89,The-Doobie-Brothers
South Of The Border,The Doobie Brothers,06.10.89,30,12 Wks,06.17.89,The-Doobie-Brothers
How You Remind Me,Nickelback,07.28.01,1,13 WKS,09.15.01,Nickelback
Figured You Out,Nickelback,11.15.03,1,13 WKS,01.24.04,Nickelback
Animals,Nickelback,11.26.05,1,6 WKS,02.11.06,Nickelback
Too Bad,Nickelback,12.15.01,1,3 WKS,04.27.02,Nickelback
Rockstar,Nickelback,07.29.06,4,12 Wks,10.28.06,Nickelback
Never Again,Nickelback,07.20.02,1,3 WKS,10.05.02,Nickelback
Something In Your Mouth,Nickelback,11.29.08,1,4 WKS,03.07.09,Nickelback
San Quentin,Nickelback,09.17.22,2,12 Wks,12.31.22,Nickelback
Someday,Nickelback,08.16.03,2,12 Wks,09.13.03,Nickelback
Feelin' Way Too Damn Good,Nickelback,05.15.04,3,12 Wks,07.03.04,Nickelback
Leader Of Men,Nickelback,03.04.00,8,12 Wks,05.13.00,Nickelback
Burn It To The Ground,Nickelback,05.30.09,3,12 Wks,09.12.09,Nickelback
Because Of You,Nickelback,09.25.04,7,12 Wks,12.11.04,Nickelback
Photograph,Nickelback,08.20.05,1,7 WKS,10.01.05,Nickelback
Bottoms Up,Nickelback,10.08.11,2,12 Wks,11.26.11,Nickelback
This Means War,Nickelback,02.25.12,6,12 Wks,05.05.12,Nickelback
Edge Of A Revolution,Nickelback,09.06.14,1,2 WKS,10.25.14,Nickelback
Shakin' Hands,Nickelback,12.05.09,11,12 Wks,02.20.10,Nickelback
Side Of A Bullet,Nickelback,03.17.07,7,12 Wks,06.09.07,Nickelback
Savin' Me,Nickelback,03.11.06,11,12 Wks,06.17.06,Nickelback
Million Miles An Hour,Nickelback,12.06.14,11,12 Wks,01.31.15,Nickelback
Those Days,Nickelback,04.01.23,23,12 Wks,06.17.23,Nickelback
Skinny Little Missy,Nickelback,10.28.23,20,12 Wks,01.20.24,Nickelback
Breathe,Nickelback,08.12.00,10,12 Wks,10.21.00,Nickelback
Feed The Machine,Nickelback,02.25.17,12,12 Wks,04.22.17,Nickelback
Gotta Be Somebody,Nickelback,10.18.08,9,12 Wks,11.01.08,Nickelback
Old Enough,Nickelback,12.23.00,24,12 Wks,02.10.01,Nickelback
Must Be Nice,Nickelback,07.08.17,30,12 Wks,08.05.17,Nickelback
If Today Was Your Last Day,Nickelback,04.25.09,32,12 Wks,05.09.09,Nickelback
If Everyone Cared,Nickelback,03.24.07,37,12 Wks,03.24.07,Nickelback
Get 'Em Up,Nickelback,07.11.15,40,12 Wks,07.11.15,Nickelback
Mysterious Ways,U2,11.30.91,1,12 WKS,12.14.91,U2
Beautiful Day,U2,09.23.00,14,12 Wks,10.28.00,U2
Vertigo,U2,10.09.04,3,12 Wks,11.27.04,U2
Where The Streets Have No Name,U2,04.04.87,11,12 Wks,08.29.87,U2
God Part II,U2,10.22.88,8,12 Wks,04.01.89,U2
When Love Comes To Town,U2,10.22.88,2,12 Wks,01.21.89,U2
One,U2,03.14.92,1,2 WKS,04.18.92,U2
(Pride) In The Name Of Love,U2,09.15.84,2,12 Wks,10.13.84,U2
I Still Haven't Found What I'm Looking For,U2,03.28.87,2,12 Wks,05.23.87,U2
"Hold Me, Thrill Me, Kiss Me, Kill Me",U2,06.10.95,1,1 WKS,08.05.95,U2
Staring At The Sun,U2,03.15.97,2,12 Wks,05.03.97,U2
Bullet The Blue Sky,U2,04.04.87,14,12 Wks,06.13.87,U2
Angel Of Harlem,U2,10.22.88,1,6 WKS,12.10.88,U2
"Sunday, Bloody Sunday",U2,04.16.83,7,12 Wks,06.04.83,U2
Even Better Than The Real Thing,U2,07.04.92,1,3 WKS,08.01.92,U2
Who's Gonna Ride Your Wild Horses,U2,01.25.92,2,12 Wks,12.05.92,U2
Until The End Of The World,U2,02.01.92,5,12 Wks,03.14.92,U2
Elevation,U2,05.05.01,21,12 Wks,06.16.01,U2
All Because Of You,U2,01.08.05,20,12 Wks,02.12.05,U2
Atomic City,U2,10.14.23,32,12 Wks,12.09.23,U2
With Or Without You,U2,03.21.87,1,5 WKS,04.04.87,U2
In God's Country,U2,04.11.87,6,12 Wks,01.09.88,U2
Bad,U2,08.24.85,19,12 Wks,09.28.85,U2
Walk On,U2,01.27.01,19,12 Wks,03.17.01,U2
I Will Follow,U2,04.18.81,20,12 Wks,04.25.81,U2
Desire,U2,10.01.88,1,5 WKS,10.08.88,U2
"Stay (Faraway, So Close!)",U2,07.31.93,12,12 Wks,12.18.93,U2
Three Sunrises,U2,06.22.85,16,12 Wks,07.20.85,U2
Spanish Eyes,U2,06.27.87,11,12 Wks,08.08.87,U2
Zooropa,U2,07.24.93,8,12 Wks,09.04.93,U2
All I Want Is You,U2,07.01.89,13,12 Wks,07.29.89,U2
Discotheque,U2,01.25.97,6,12 Wks,02.15.97,U2
TWO HEARTS BEAT AS ONE,U2,06.11.83,12,12 Wks,07.16.83,U2
NEW YEAR's DAY,U2,03.12.83,2,12 Wks,03.26.83,U2
Magnificent,U2,03.28.09,29,12 Wks,05.09.09,U2
Electrical Storm,U2,09.28.02,26,12 Wks,10.12.02,U2
ELEVEN O'CLOCK TICK-TOCK,U2,12.10.83,30,12 Wks,01.21.84,U2
Wire,U2,12.08.84,31,12 Wks,01.05.85,U2
Last Night On Earth,U2,07.05.97,18,12 Wks,08.02.97,U2
The Fly,U2,10.26.91,2,12 Wks,11.16.91,U2
The Saints Are Coming,U2 & Green Day,10.28.06,33,12 Wks,11.18.06,U2
Get On Your Boots,U2,02.07.09,26,12 Wks,02.21.09,U2
Stuck In A Moment You Can't Get Out Of,U2,09.22.01,35,12 Wks,10.06.01,U2
Sweetest Thing,U2,10.24.98,31,12 Wks,10.31.98,U2
Night And Day,U2,11.10.90,34,12 Wks,11.17.90,U2
SURRENDER,U2,07.16.83,27,12 Wks,07.16.83,U2
Invisible,U2,02.22.14,27,12 Wks,02.22.14,U2
A Sort Of Homecoming,U2,04.13.85,45,12 Wks,04.13.85,U2
Numb,U2,07.10.93,18,12 Wks,07.10.93,U2
Jesus Christ,U2,09.10.88,38,12 Wks,09.10.88,U2
Everlasting Love,U2,08.05.89,46,12 Wks,08.05.89,U2
Heroin,Badflower,12.22.18,1,1 WKS,05.25.19,Badflower
Ghost,Badflower,06.23.18,2,12 Wks,10.06.18,Badflower
The Jester,Badflower,07.27.19,1,1 WKS,11.30.19,Badflower
30,Badflower,08.01.20,2,12 Wks,11.21.20,Badflower
F*ck The World,Badflower,03.20.21,10,12 Wks,07.03.21,Badflower
Don't Hate Me,Badflower,08.28.21,11,12 Wks,10.30.21,Badflower
Animal,Badflower,12.31.16,28,12 Wks,04.01.17,Badflower
Family,Badflower,03.05.22,20,12 Wks,04.30.22,Badflower
Heaven Nor Hell,Volbeat,09.15.12,1,1 WKS,02.09.13,Volbeat
A Warrior's Call,Volbeat,09.10.11,2,12 Wks,02.04.12,Volbeat
Still Counting,Volbeat,03.31.12,1,2 WKS,07.21.12,Volbeat
The Hangman's Body Count,Volbeat,04.06.13,1,3 WKS,06.01.13,Volbeat
The Devil's Bleeding Crown,Volbeat,04.23.16,1,9 WKS,05.21.16,Volbeat
Lola Montez,Volbeat,09.07.13,1,1 WKS,12.07.13,Volbeat
Seal The Deal,Volbeat,09.17.16,3,12 Wks,12.03.16,Volbeat
Dead But Rising,Volbeat,02.08.14,3,12 Wks,05.17.14,Volbeat
Fallen,Volbeat,04.02.11,11,12 Wks,08.13.11,Volbeat
Die To Live,Volbeat Featuring Neil Fallon,11.16.19,1,1 WKS,03.14.20,Volbeat
Leviathan,Volbeat,06.01.19,5,12 Wks,08.01.20,Volbeat
Last Day Under The Sun,Volbeat,06.22.19,1,4 WKS,08.10.19,Volbeat
Wait A Minute My Girl,Volbeat,06.12.21,1,3 WKS,08.21.21,Volbeat
Shotgun Blues,Volbeat,10.09.21,1,3 WKS,12.18.21,Volbeat
Becoming,Volbeat,09.24.22,21,12 Wks,11.26.22,Volbeat
Temple Of Ekur,Volbeat,03.19.22,8,12 Wks,06.25.22,Volbeat
Black Rose,Volbeat Featuring Danko Jones,03.18.17,1,1 WKS,06.24.17,Volbeat
Doc Holliday,Volbeat,09.27.14,9,12 Wks,11.15.14,Volbeat
KING OF PAIN,The Police,07.09.83,1,5 WKS,08.27.83,The-Police
SYNCHRONICITY II,The Police,07.16.83,9,12 Wks,12.10.83,The-Police
Every Little Thing She Does Is Magic,The Police,09.26.81,1,2 WKS,12.12.81,The-Police
WRAPPED AROUND YOUR FINGER,The Police,07.09.83,9,12 Wks,09.03.83,The-Police
Spirits In The Material World,The Police,12.05.81,7,12 Wks,01.30.82,The-Police
EVERY BREATH YOU TAKE,The Police,06.04.83,1,9 WKS,06.11.83,The-Police
SECRET JOURNEY,The Police,02.06.82,29,12 Wks,05.29.82,The-Police
I BURN FOR YOU,The Police,12.04.82,27,12 Wks,12.25.82,The-Police
Don't Stand So Close To Me '86,The Police,10.25.86,10,12 Wks,11.15.86,The-Police
Don't Stand So Close To Me,The Police,03.21.81,11,12 Wks,03.21.81,The-Police
Driven To Tears,The Police,03.28.81,35,12 Wks,04.04.81,The-Police
Hurts So Good,John Cougar,05.01.82,1,1 WKS,06.19.82,John-Mellencamp
Get A Leg Up,John Mellencamp,10.05.91,1,3 WKS,10.19.91,John-Mellencamp
Just Another Day,John Mellencamp,11.30.96,13,12 Wks,01.25.97,John-Mellencamp
R.O.C.K. In The U.S.A. (A Salute To 60's Rock),John Mellencamp,09.14.85,6,12 Wks,10.19.85,John-Mellencamp
Love & Happiness,John Mellencamp,11.02.91,5,12 Wks,01.04.92,John-Mellencamp
Now More Than Ever,John Mellencamp,04.04.92,3,12 Wks,06.13.92,John-Mellencamp
Cherry Bomb,John Mellencamp,09.05.87,1,1 WKS,11.14.87,John-Mellencamp
Rain On The Scarecrow,John Mellencamp,09.21.85,28,12 Wks,11.02.85,John-Mellencamp
Again Tonight,John Mellencamp,01.25.92,1,2 WKS,03.07.92,John-Mellencamp
Small Town,John Mellencamp,09.14.85,2,12 Wks,11.09.85,John-Mellencamp
Human Wheels,John Mellencamp,09.18.93,2,12 Wks,11.06.93,John-Mellencamp
Wild Night,John Mellencamp With Me'Shell Ndegeocello,05.28.94,17,12 Wks,07.02.94,John-Mellencamp
PINK HOUSES,John Mellencamp,10.29.83,3,12 Wks,01.07.84,John-Mellencamp
Crumblin' Down,John Cougar Mellencamp,10.15.83,2,12 Wks,12.03.83,John-Mellencamp
Lonely Ol' Night,John Mellencamp,08.17.85,1,5 WKS,09.07.85,John-Mellencamp
Your Life Is Now,John Mellencamp,09.19.98,15,12 Wks,10.24.98,John-Mellencamp
Key West Intermezzo (I Saw You First),John Mellencamp,08.17.96,10,12 Wks,10.05.96,John-Mellencamp
What If I Came Knocking,John Mellencamp,07.24.93,1,2 WKS,08.28.93,John-Mellencamp
Without Expression,John Mellencamp,11.29.97,25,12 Wks,01.24.98,John-Mellencamp
Justice & Independence,John Mellencamp,11.30.85,28,12 Wks,02.01.86,John-Mellencamp
Hard Times For An Honest Man,John Mellencamp,09.05.87,10,12 Wks,10.10.87,John-Mellencamp
Check It Out,John Mellencamp,02.06.88,3,12 Wks,03.05.88,John-Mellencamp
The Real Life,John Mellencamp,09.12.87,3,12 Wks,01.16.88,John-Mellencamp
Minutes To Memories,John Mellencamp,01.18.86,14,12 Wks,02.22.86,John-Mellencamp
Paper In Fire,John Mellencamp,08.15.87,1,5 WKS,08.22.87,John-Mellencamp
Last Chance,John Mellencamp,07.04.92,12,12 Wks,08.01.92,John-Mellencamp
Martha Say,John Mellencamp,05.20.89,8,12 Wks,06.17.89,John-Mellencamp
The Authority Song,John Cougar Mellencamp,02.18.84,15,12 Wks,05.12.84,John-Mellencamp
